Joshua Project People Group Data

ROL3,Language,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
fab,"Fa d'Ambu",2,4,N,4,,2021,2009,Y,N,,4,"Ethnic Religions"
faf,Fagani,1,5,N,3,,,1904,N,N,,1,Christianity
uve,Fagauvea,1,4,N,3,,,1903,N,N,,1,Christianity
fif,Faifi,1,1,Y,1,,,,N,N,,6,Islam
fai,Faiwol,1,5,N,4,,1995-2013,1969-1990,N,Y,fai,1,Christianity
fax,Fala,1,3,N,4,,2015,Yes,N,N,,1,Christianity
fli,"Fali Muchella",1,4,N,3,,,2017,Y,Y,,4,"Ethnic Religions"
fll,"Fali, North",1,1,Y,3,,,1971,N,Y,,6,Islam
fal,"Fali, South",1,2,N,4,,1975-2011,1974,N,Y,,6,Islam
fam,Fam,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
bjp,Fanamaket,1,5,N,4,,2012-2019,2011,Y,Y,bjp,1,Christianity
fnb,Fanbak,1,5,N,1,,,,N,N,,1,Christianity
fak,"Fang (Cameroon)",1,4,N,1,,,,N,Y,,1,Christianity
fan,"Fang (Equatorial Guinea)",5,4,N,5,1951,2008-2014,2000,Y,Y,,1,Christianity
fni,Fania,1,1,Y,1,,,,N,N,,6,Islam
gur,Farefare,4,4,N,5,2007-2021,1986-2004,1962-2000,Y,Y,gur,4,"Ethnic Religions"
fao,Faroese,2,5,N,5,1948-1988,1931-1937,1823-1931,Y,N,fao,1,Christianity
faz,"Fars, Northwestern",1,1,Y,0,,,,N,N,,6,Islam
fay,"Fars, Southwestern",1,1,Y,0,,,,N,Y,,6,Islam
faa,Fasu,1,5,N,4,,1976-2013,1964,N,Y,faa,1,Christianity
far,Fataleka,1,5,N,4,,2017,2015,Y,Y,far,1,Christianity
ddg,Fataluku,2,3,N,3,,,2016,N,Y,,1,Christianity
fau,Fayu,1,4,N,1,,,,N,N,,1,Christianity
pdn,Fedan,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
fmp,Fefe,1,4,N,3,,,1960,N,N,,1,Christianity
agl,Fembe,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
fer,Feroge,1,4,N,0,,,,N,N,,6,Islam
hif,"Fiji Hindi",3,5,N,4,,2002,Yes,Y,Y,hif,5,Hinduism
fij,Fijian,12,5,N,5,1864-2021,1847-1987,1839-1968,Y,Y,fij,1,Christianity
wyy,"Fijian, Western",2,5,N,3,,,2016,N,Y,,1,Christianity
fil,Filipino,,,N,5,1905,1902-1977,1898-1991,N,N,,,
psp,"Filipino Sign Language",1,,N,3,,,2021,N,N,,1,Christianity
fss,"Finland-Swedish Sign Language",,,N,3,,,2016-2020,N,N,,,
fin,Finnish,17,5,N,5,1642-1995,1548-1976,1891-1986,Y,Y,fin,1,Christianity
fse,"Finnish Sign Language",1,,N,3,,,2021,N,N,,1,Christianity
fkv,"Finnish, Kven",1,4,N,0,,,,N,N,,1,Christianity
fit,"Finnish, Tornedalen",2,5,N,3,,,1993-1995,N,N,,1,Christianity
fag,Finongan,1,5,N,3,,,2005-2014,N,N,,1,Christianity
fip,Fipa,1,5,N,4,,1988,Yes,N,Y,fip,1,Christianity
fir,Firan,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
fiw,Fiwaga,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
fly,Flaaitaal,,,N,0,,,,N,N,,,
vgt,"Flemish Sign Language",,,N,2,,,,N,N,,,
flh,Foau,1,4,N,3,,,2022-2023,N,N,,1,Christianity
foi,Foi,1,5,N,4,,1978,1961-1968,N,Y,,1,Christianity
ffi,"Foia Foia",1,2,N,1,,,,N,N,,4,"Ethnic Religions"
ppo,Folopa,1,5,N,4,,2005-2014,1978-1989,Y,Y,ppo,1,Christianity
fom,Foma,2,4,N,1,,,,N,N,,1,Christianity
fon,Fon,6,5,N,5,2011-2014,1994,1967,Y,Y,fon,1,Christianity
fgr,Fongoro,1,1,Y,0,,,,N,N,,6,Islam
fod,Foodo,2,1,Y,3,,,1998,N,Y,,6,Islam
frq,Forak,1,5,N,2,,,,N,N,,1,Christianity
frd,Fordata,1,2,N,4,,2016,1996-2004,Y,Y,frd,6,Islam
for,Fore,2,5,N,4,,1970-2013,1966-1969,N,Y,for,1,Christianity
fra,French,146,3,N,5,1478-2020,1474-1990,1483-1989,Y,Y,fra,1,Christianity
sfb,"French Belgian Sign Language",1,,N,1,,,,N,N,,1,Christianity
fsl,"French Sign Language",2,,N,3,,,2011,N,N,,1,Christianity
frc,"French, Cajun",1,4,N,0,,,,N,Y,,1,Christianity
fry,Frisian,3,4,N,5,1943-1995,1933,1755-1937,N,Y,,1,Christianity
frr,"Frisian, Northern",2,3,N,4,,1870,1954-1955,N,N,frr,1,Christianity
fur,Friulian,1,3,N,4,,1972,1860,N,N,fur,1,Christianity
fub,"Fulfulde, Adamawa",8,1,Y,5,1983-2023,1963-1964,1919-1966,Y,Y,fub,6,Islam
fui,"Fulfulde, Bagirmi",2,1,Y,3,,,2023,Y,N,,6,Islam
fue,"Fulfulde, Borgu",3,1,Y,4,,2010-2017,Yes,Y,Y,fue,6,Islam
fuq,"Fulfulde, Central-Eastern Niger",3,1,Y,4,,2015,2006,N,Y,fuq,6,Islam
ffm,"Fulfulde, Maasina",3,1,Y,4,,2005-2016,1934,Y,Y,ffm,6,Islam
fuv,"Fulfulde, Nigerian",3,1,Y,4,,2007-2013,Yes,Y,Y,fuv,6,Islam
fuh,"Fulfulde, Western Niger",6,1,Y,4,,2012-2018,2003-2005,Y,Y,fuh,6,Islam
flr,Fuliiru,1,5,N,5,2019,1999,1959-1991,Y,Y,flr,1,Christianity
fuu,Fulu,2,5,N,3,,,2021,Y,Y,,1,Christianity
bbd,Fulumu,1,5,N,3,,,2010-2017,N,N,,1,Christianity
fum,Fum,,,N,1,,,,N,N,,,
ula,Fungwa,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
fvr,Fur,4,1,Y,3,,,2010-2015,Y,Y,,6,Islam
fud,"Futuna, East",2,4,N,5,2000-2010,2000-2001,1991,N,N,fud,1,Christianity
fut,Futuna-Aniwa,1,5,N,4,,1898,1869-1923,N,Y,fut,1,Christianity
fuy,Fuyug,1,5,N,3,,,1931-1994,N,Y,,1,Christianity
fwa,Fwai,1,4,N,1,,,,N,N,,1,Christianity
fwe,Fwe,1,3,N,3,,,2016,Y,Y,,1,Christianity
fie,Fyer,1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
gaa,Ga,3,5,N,5,1866-2020,1859-1977,1843-1966,Y,Y,gaa,1,Christianity
gqa,Ga'anda,1,5,N,3,,,2013,Y,Y,,1,Christianity
gdg,Ga'dang,1,2,N,4,,2000-2001,1976-1981,N,N,gdg,4,"Ethnic Religions"
ttb,Gaa,1,1,Y,2,,,,N,Y,,6,Islam
tbi,Gaam,1,1,Y,2,,,,N,N,,6,Islam
gbw,Gabi-Gabi,,,N,2,,,,N,N,,,
gab,Gabri,1,5,N,5,2023,2023-2024,2014-2017,N,Y,gab,4,"Ethnic Religions"
gbj,"Gadaba, Bodo",14,2,N,4,,2011,Yes,Y,N,,5,Hinduism
gau,"Gadaba, Mudhili",21,1,Y,4,,2019-2023,2016,Y,Y,gau,5,Hinduism
gdb,"Gadaba, Pottangi Ollar",12,2,N,4,,2012,Yes,N,Y,,5,Hinduism
gdk,Gadang,1,1,Y,0,,,,N,N,,6,Islam
gad,Gaddang,1,5,N,3,,,2020,Y,Y,,1,Christianity
gbk,Gaddi,12,1,Y,4,,2017-2021,Yes,N,Y,gbk,5,Hinduism
ged,Gade,1,4,N,2,,,,N,Y,,1,Christianity
gdh,Gadjerawang,,,N,0,,,,N,N,,,
gaj,Gadsup,1,5,N,4,,1981,1968,Y,Y,,1,Christianity
gag,Gagauz,9,4,N,4,,2006-2020,1927-1996,Y,N,gag,1,Christianity
bfu,Gahri,4,1,Y,3,,,1905-1923,N,Y,,2,Buddhism
gbf,Gaikundi,1,5,N,3,,,1976-1978,N,Y,,1,Christianity
gic,Gail,,,N,0,,,,N,N,,,
gcn,Gaina,1,5,N,1,,,,N,Y,,1,Christianity
gap,Gal,1,5,N,2,,,,N,N,,1,Christianity
nud,Gala,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
glo,Galambi,1,2,N,2,,,,N,Y,,6,Islam
gbi,Galela,1,4,N,4,,2002,1990-2000,Y,Y,gbi,6,Islam
gar,Galeya,1,5,N,2,,,,N,Y,,1,Christianity
glg,Galician,6,3,N,5,1989-1992,1974-1980,1861-1967,Y,Y,glg,1,Christianity
gal,Galolen,3,4,N,2,,,,N,N,,1,Christianity
bmp,Gamane,1,5,N,2,,,,N,N,,1,Christianity
kld,Gamilaraay,,,N,0,,,,N,N,,,
gbl,Gamit,7,3,N,4,,1982-2022,1975,Y,Y,gbl,5,Hinduism
gak,Gamkonora,1,4,N,1,,,,N,Y,,6,Islam
gmv,Gamo,1,5,N,5,2018,2009-2017,Yes,Y,Y,gmv,1,Christianity
bte,Gamo-Ningi,,,N,0,,,,N,Y,,,
gnk,Gana,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
gnq,Gana,1,4,N,0,,,,N,N,,4,"Ethnic Religions"
gne,Ganang,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
lug,Ganda,6,5,N,5,1896-2023,1893-1993,1887-1953,Y,Y,lug,1,Christianity
gzn,Gane,1,1,Y,2,,,,N,N,,6,Islam
gcd,Ganggalida,,,N,0,,,,N,Y,,,
ggl,Ganglau,1,5,N,2,,,,N,N,,1,Christianity
gnb,Gangte,35,3,N,5,1991-2021,1959,1952-1955,N,Y,gnb,1,Christianity
gao,Gants,1,5,N,1,,,,N,N,,1,Christianity
gza,Ganza,2,4,N,2,,,,N,N,,4,"Ethnic Religions"
gnz,Ganzi,1,5,N,1,,,,N,N,,1,Christianity
gga,Gao,1,5,N,3,,,2011-2013,Y,Y,,1,Christianity
pwg,Gapapaiwa,1,5,N,4,,2009-2015,1991-2001,N,Y,pwg,1,Christianity
gas,"Garasia, Adiwasi",11,1,Y,4,,2017-2022,1987,Y,Y,gas,5,Hinduism
gra,"Garasia, Rajput",,,N,4,,2009,1998,Y,Y,,,
gbm,Garhwali,349,1,Y,4,,1827-2021,1876-1966,Y,Y,gbm,5,Hinduism
cab,Garifuna,6,4,N,5,2001-2002,1983-2000,1847-1968,Y,Y,cab,1,Christianity
grt,Garo,73,3,N,5,1924-1994,1894-1987,1887-2003,Y,Y,grt,1,Christianity
gex,Garre,2,1,Y,0,,,,N,N,,6,Islam
wrk,Garrwa,1,5,N,3,,,1976-1991,N,Y,wrk,4,"Ethnic Religions"
gyb,Garus,1,5,N,2,,,,N,N,,1,Christianity
oci,"Gascon Aranese",5,3,N,5,2013,Yes,1583-1983,Y,N,oci,1,Christianity
gaq,Gata',1,1,Y,4,,2020,Yes,Y,Y,gaq,5,Hinduism
dmc,Gavak,1,5,N,2,,,,N,N,,1,Christianity
gou,Gavar,1,2,N,2,,,,N,Y,,6,Islam
gvo,"Gaviao do Jiparana",1,2,N,3,,,1973-1991,Y,Y,,4,"Ethnic Religions"
gvp,"Gaviao, Para",3,4,N,0,,,,N,Y,,4,"Ethnic Religions"
gwt,Gawar-Bati,1,1,Y,0,,,,N,Y,,6,Islam
gwc,Gawri,44,1,Y,3,,,2022,Y,N,,6,Islam
gyl,Gayil,1,5,N,4,,2023,Yes,Y,N,,1,Christianity
gay,Gayo,1,1,Y,3,,,2020,Y,N,,6,Islam
gzi,Gazi,1,1,Y,0,,,,N,N,,6,Islam
gbr,Gbagyi,1,4,N,4,,1956-1997,1913-1938,Y,Y,gbr,4,"Ethnic Religions"
ggu,Gban,1,2,N,4,,1998,1970,Y,Y,,4,"Ethnic Religions"
gbv,Gbanu,1,5,N,3,,,1932-1939,Y,Y,,1,Christianity
gbg,Gbanziri,2,4,N,1,,,,N,Y,,4,"Ethnic Religions"
gby,Gbari,1,4,N,3,,,1913-2018,Y,Y,,4,"Ethnic Religions"
krs,Gbaya,4,4,N,4,,2019,2003–2014,Y,Y,krs,6,Islam
gya,"Gbaya, Northwest",5,5,N,5,1995-2011,1968-1982,1933-1975,Y,Y,gya,1,Christianity
gso,"Gbaya, Southwest",1,5,N,4,,1951-2005,1980,Y,N,gso,1,Christianity
gbp,Gbaya-Bossangoa,1,5,N,4,,2021,1934-2002,Y,N,,1,Christianity
gbq,Gbaya-Bozoum,1,5,N,1,,,,N,N,,1,Christianity
gmm,Gbaya-Mbodomo,1,3,N,3,,,1980,N,Y,,1,Christianity
gyg,Gbayi,1,5,N,1,,,,N,N,,1,Christianity
ayb,"Gbe, Ayizo",1,4,N,1,,,,N,Y,,1,Christianity
cib,"Gbe, Ci",1,4,N,2,,,,N,Y,,1,Christianity
gbh,"Gbe, Defi",1,4,N,2,,,,N,Y,,1,Christianity
gbx,"Gbe, Eastern Xwla",1,4,N,2,,,,N,N,,4,"Ethnic Religions"
gbs,"Gbe, Gbesi",1,2,N,1,,,,N,N,,4,"Ethnic Religions"
kqk,"Gbe, Kotafon",1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
mxl,"Gbe, Maxi",2,4,N,3,,,2017,N,Y,,4,"Ethnic Religions"
sxw,"Gbe, Saxwe",1,5,N,4,,2022,2014-2022,Y,Y,3847,1,Christianity
tfi,"Gbe, Tofin",1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
wci,"Gbe, Waci",2,4,N,3,,,Yes,N,Y,,4,"Ethnic Religions"
wem,"Gbe, Weme",1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
xwl,"Gbe, Western Xwla",2,4,N,1,,,,N,Y,,4,"Ethnic Religions"
xwe,"Gbe, Xwela",1,2,N,2,,,,N,Y,,4,"Ethnic Religions"
ggb,Gbii,1,4,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
diu,Gciriku,3,5,N,4,,1988,1979-1985,N,Y,,1,Christianity
hmj,Ge,1,1,Y,3,,,1937,Y,Y,,4,"Ethnic Religions"
gei,Gebe,1,4,N,0,,,,N,N,,6,Islam
goi,Gebusi,1,5,N,1,,,,N,N,,1,Christianity
gdd,Gedaged,1,5,N,4,,1960,1925-1935,Y,Y,,1,Christianity
drs,Gedeo,1,5,N,4,,1986-1987,1980,Y,Y,,1,Christianity
gez,Geez,,,N,5,400-1961,1549,1513,N,N,gez,,
nlg,Gela,1,5,N,4,,2015,1879-1971,Y,Y,nlg,1,Christianity
giq,"Gelao, Green",2,4,N,0,,,,N,N,,4,"Ethnic Religions"
gir,"Gelao, Red",,,N,0,,,,N,N,,,
geq,Geme,1,5,N,1,,,,N,N,,1,Christianity
gej,Gen,2,5,N,5,2014,1962,1920-1994,Y,Y,gej,1,Christianity
gaf,Gende,1,5,N,2,,,,N,Y,,1,Christianity
geg,Gengle,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
kat,Georgian,28,3,N,5,1743-2013,1709-1993,1709-1982,Y,Y,kat,1,Christianity
ygp,Gepo,2,1,Y,4,,2015,1913,Y,N,,4,"Ethnic Religions"
gew,Gera,1,1,Y,0,,,,N,Y,,6,Islam
gef,Gerai,1,4,N,4,,1997,Yes,N,N,,4,"Ethnic Religions"
gsg,"German Sign Language",1,,N,3,,,1998,N,N,,1,Christianity
gct,"German, Colonia Tovar",1,3,N,0,,,,N,N,,1,Christianity
pdc,"German, Pennsylvania",2,4,N,5,2013-2016,1994-2002,1955-1977,N,Y,pdc,1,Christianity
deu,"German, Standard",86,4,N,5,1466-2016,1522-1983,1522-1987,Y,Y,deu,1,Christianity
gsw,"German, Swiss",20,4,N,4,,1984-1997,1936-1986,N,Y,,1,Christianity
gea,Geruma,1,1,Y,0,,,,N,Y,,6,Islam
ges,Geser-Gorom,1,1,Y,1,,,,N,N,,6,Islam
gha,Ghadames,1,1,Y,0,,,,N,N,,6,Islam
ghh,"Ghale, Northern",,,N,0,,,,N,N,,,
ghe,"Ghale, Southern",1,2,N,4,,1992-2011,1977,N,Y,ghe,2,Buddhism
gpe,"Ghanaian Pidgin English",,,N,1,,,,N,N,,,
gse,"Ghanaian Sign Language",1,,N,3,,,2014,N,N,,1,Christianity
gds,"Ghandruk Sign Language",,,N,2,,,,N,N,,,
ghn,Ghanongga,1,5,N,2,,,,N,Y,,1,Christianity
gri,Ghari,1,5,N,5,1998,1989,1905-1985,N,Y,gri,1,Christianity
bmk,Ghayavi,1,5,N,3,,,2009,N,Y,bmk,1,Christianity
ghr,Ghera,,,N,0,,,,N,Y,,,
gdo,Ghodoberi,1,1,Y,0,,,,N,N,,6,Islam
bbj,Ghomala,2,4,N,4,,2002,1964,Y,Y,bbj,1,Christianity
gho,Ghomara,1,1,Y,3,,,Yes,N,N,,6,Islam
aaa,Ghotuo,1,4,N,4,,2021,2019,Y,Y,,4,"Ethnic Religions"
ghl,Ghulfan,1,1,Y,2,,,,N,Y,,6,Islam
gib,Gibanawa,,,N,0,,,,N,N,,,
cuh,Gichuka,1,5,N,3,,,2016-2021,Y,N,,4,"Ethnic Religions"
gid,Gidar,2,4,N,5,Yes,1985-1986,1973-1978,N,Y,gid,6,Islam
kks,Giiwo,1,4,N,2,,,,N,Y,,6,Islam
kik,Gikuyu,6,5,N,5,1951-2013,1926-1994,1903-1964,Y,Y,kik,1,Christianity
acd,Gikyode,1,2,N,4,,2001-2007,1986-1988,Y,Y,acd,4,"Ethnic Religions"
glk,Gilaki,3,1,Y,3,,,2010-2019,Y,Y,glk,6,Islam
gix,Gilima,1,5,N,2,,,,N,N,,1,Christianity
niv,Gilyak,2,2,N,3,,,2000,N,N,,4,"Ethnic Religions"
gim,Gimi,1,5,N,4,,1992-1994,1974-1985,N,Y,,1,Christianity
gip,Gimi,1,5,N,4,,2000,1990-1992,N,Y,,1,Christianity
kmp,Gimme,1,2,N,2,,,,N,Y,,6,Islam
gmn,Gimnime,1,2,N,2,,,,N,N,,6,Islam
gnm,Ginuman,1,5,N,2,,,,N,Y,,1,Christianity
ayg,Ginyanga,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
bbr,Girawa,1,5,N,4,,1994-2013,1987,N,Y,bbr,1,Christianity
gii,Girirra,1,1,Y,0,,,,N,N,,6,Islam
gih,Githabul,,,N,0,,,,N,N,,,
ggt,Gitua,1,5,N,1,,,,N,N,,1,Christianity
git,Gitxsan,1,4,N,3,,,1906,N,Y,,1,Christianity
giz,Giziga,1,1,Y,5,2010-2011,1996,1988,Y,Y,giz,4,"Ethnic Religions"
gis,"Giziga, North",1,4,N,3,,,Yes,N,Y,,1,Christianity
tof,Gizrra,1,5,N,4,,2020,2002-2010,N,Y,tof,1,Christianity
glr,Glaro-Twabo,2,4,N,2,,,,N,Y,,1,Christianity
glw,Glavda,2,4,N,3,,,1966-2017,Y,Y,,4,"Ethnic Religions"
oub,Glio-Oubi,2,4,N,1,,,,N,Y,,4,"Ethnic Religions"
gnu,Gnau,1,5,N,1,,,,N,Y,,1,Christianity
gig,Goaria,9,1,Y,0,,,,N,Y,,6,Islam
gox,Gobu,2,5,N,2,,,,N,Y,,1,Christianity
god,Godie,1,4,N,4,,2022,1977-2001,Y,Y,god,1,Christianity
gdx,Godwari,199,1,Y,0,,,,N,Y,,5,Hinduism
ank,Goemai,1,3,N,3,,,2015,Y,Y,,1,Christianity
gof,Gofa,1,5,N,5,2018,2009-2013,Yes,Y,Y,gof,1,Christianity
gog,Gogo,1,5,N,5,1962-2002,1899-1993,1886-1996,Y,Y,gog,1,Christianity
ggw,Gogodala,1,5,N,4,,1981-2013,1942-1988,N,Y,ggw,1,Christianity
gkn,Gokana,1,5,N,4,,1996-2011,1993,Y,Y,,1,Christianity
gol,Gola,2,1,Y,4,,2020,Yes,Y,Y,gol,6,Islam
gvf,Golin,2,5,N,4,,1980-2013,1969-1970,Y,Y,gvf,1,Christianity
lja,Golpa,,,N,0,,,,N,N,,,
wsg,"Gondi, Adilabad",32,1,Y,4,,2018,1962,Y,N,wsg,5,Hinduism
esg,"Gondi, Aheri",30,1,Y,4,,2021,1962-2019,Y,Y,esg,5,Hinduism
gno,"Gondi, Northern",121,1,Y,4,,1994-1996,1872-1987,Y,Y,,5,Hinduism
goo,"Gone Dau",1,5,N,2,,,,N,N,,1,Christianity
goe,Gongduk,1,1,Y,0,,,,N,N,,2,Buddhism
gjn,Gonja,1,1,Y,5,2015-2023,1984,1967-2008,Y,Y,gjn,6,Islam
gov,Goo,1,4,N,2,,,,N,N,,4,"Ethnic Religions"
ddi,"Goodenough, West",1,5,N,2,,,,N,Y,,1,Christianity
gni,Gooniyandi,1,3,N,0,,,,N,Y,,1,Christianity
gqr,Gor,1,4,N,4,,2014-2015,Yes,N,Y,gqr,1,Christianity
goc,Gorakor,1,5,N,1,,,,N,N,,1,Christianity
goq,Gorap,1,4,N,0,,,,N,N,,4,"Ethnic Religions"
gor,Gorontalo,2,1,Y,5,2006,2000,1993,Y,Y,gor,6,Islam
grq,Gorovu,,,N,0,,,,N,N,,,
gow,Gorowa,1,4,N,2,,,,N,Y,,1,Christianity
goy,Goundo,,,N,0,,,,N,N,,,
gux,Gourmanchema,5,4,N,5,2003-2005,1958-1990,1947-2016,Y,Y,gux,4,"Ethnic Religions"
goj,Gowlan,,,N,4,,2022,2020,Y,Y,,,
gok,Gowli,,,N,4,,2017-2023,Yes,Y,Y,gok,,
gwf,Gowro,3,1,Y,0,,,,N,N,,6,Islam
goz,Gozarkhani,,,N,0,,,,N,Y,,,
nli,Grangali,1,1,Y,1,,,,N,Y,,6,Islam
gac,"Great Andamanese, Mixed",,,N,3,,,1877,N,N,,,
gry,"Grebo, Barclayville",1,5,N,2,,,,N,Y,,1,Christianity
grv,"Grebo, Central",1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
gec,"Grebo, Gboloo",1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
gbo,"Grebo, Northern",3,5,N,4,,1989,1838-1987,Y,Y,gbo,1,Christianity
grj,"Grebo, Southern",2,5,N,2,,,,N,Y,,1,Christianity
ell,Greek,80,3,N,5,1840-2003,1638-1989,1547-1949,Y,Y,ell,1,Christianity
gss,"Greek Sign Language",1,,N,2,,,,N,N,,1,Christianity
kal,Greenlandic,2,4,N,5,1900,1991,1744-1985,Y,Y,,1,Christianity
gcl,"Grenadian English Creole",2,5,N,1,,,,N,N,,1,Christianity
grs,Gresi,1,4,N,0,,,,N,Y,,4,"Ethnic Religions"
gro,Groma,1,1,Y,0,,,,N,Y,,2,Buddhism
gos,Gronings,1,4,N,5,1987,Yes,1955-1956,N,N,,1,Christianity
ats,"Gros Ventre",,,N,0,,,,N,Y,,,
gwx,Gua,1,5,N,2,,,,N,N,,1,Christianity
gcf,"Guadeloupean French Creole",5,4,N,3,,,2005,Y,Y,,1,Christianity
guh,Guahibo,3,5,N,4,,1982-2020,1960-1968,Y,Y,guh,1,Christianity
gvj,Guaja,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
gub,Guajajara,1,5,N,5,2007,1985,1930-1934,Y,Y,gub,1,Christianity
gqn,"Guana (Brazil)",,,N,0,,,,N,N,,,
gva,"Guana (Paraguay)",1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
nhd,"Guarani, Ava",3,4,N,5,2006,Yes,1991,N,Y,,1,Christianity
gui,"Guarani, Eastern Bolivian",4,5,N,5,2000-2001,1974,1931-1994,Y,Y,gui,1,Christianity
gun,"Guarani, Mbya",3,4,N,5,2004,1987,1971-1976,Y,Y,gun,4,"Ethnic Religions"
gug,"Guarani, Paraguayan",5,4,N,5,1996-2006,1913-1977,1905-1994,Y,Y,gug,1,Christianity
gnw,"Guarani, Western Bolivian",1,5,N,4,,1984-2012,1985,Y,Y,gnw,1,Christianity
gyr,Guarayu,1,5,N,4,,1985-2011,1964,N,Y,gyr,1,Christianity
gae,Guarequena,2,5,N,0,,,,N,Y,,1,Christianity
gsm,"Guatemalan Sign Language",1,,N,3,,,2022,N,N,,1,Christianity
gta,Guato,,,N,0,,,,N,N,,,
guo,Guayabero,1,4,N,4,,2009-2010,1961-1997,N,Y,guo,1,Christianity
gde,Gude,2,4,N,4,,1999-2007,1974-1995,N,Y,gde,6,Islam
gdu,Gudu,1,4,N,0,,,,N,Y,,6,Islam
gdf,Guduf-Gava,2,4,N,3,,,1966,Y,Y,,6,Islam
gie,Guebie,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
gdc,"Gugu Badhun",,,N,0,,,,N,N,,,
ghs,Guhu-Samane,1,5,N,4,,1975-1983,1966-2000,N,Y,ghs,1,Christianity
gcr,"Guianese French Creole",2,4,N,3,,,2007,N,Y,gcr,1,Christianity
pov,"Guinea-Bissau Creole",6,4,N,5,1999,1989,1979,Y,Y,pov,1,Christianity
lgs,"Guinea-Bissau Sign Language",1,,N,1,,,,N,N,,6,Islam
gus,"Guinean Sign Language",1,,N,1,,,,N,N,,6,Islam
gqi,Guiqiong,1,1,Y,1,,,,N,N,,2,Buddhism
guj,Gujarati,686,1,Y,5,1823-2021,1820-1985,1809-1965,Y,Y,guj,5,Hinduism
gju,Gujari,43,1,Y,0,,,,N,Y,,6,Islam
kcm,"Gula (Central African Republic)",2,5,N,1,,,,N,N,,6,Islam
glu,"Gula (Chad)",1,4,N,0,,,,N,N,,4,"Ethnic Religions"
glj,"Gula Iro",1,2,N,2,,,,N,Y,,1,Christianity
gmb,Gula'alaa,1,5,N,1,,,,N,Y,,1,Christianity
gvl,Gulay,1,4,N,4,,2004-2006,1956,N,N,gvl,1,Christianity
gly,Gule,,,N,0,,,,N,N,,,
gmu,Gumalu,1,5,N,2,,,,N,N,,1,Christianity
gnn,Gumatj,1,4,N,4,,1985,1977-1979,N,Y,gnn,4,"Ethnic Religions"
gvs,Gumawana,1,5,N,4,,2019,1992-1999,N,Y,gvs,1,Christianity
guk,Gumuz,3,5,N,4,,2003-2023,Yes,Y,Y,,4,"Ethnic Religions"
guw,Gun,5,4,N,5,1923,1892-1919,1886-1910,Y,Y,guw,1,Christianity
gdi,Gundi,2,5,N,1,,,,N,N,,4,"Ethnic Religions"
rub,Gungu,1,4,N,4,,2017,1998-2009,Y,N,rub,1,Christianity
gup,Gunwinggu,3,5,N,4,,2018,1942-1993,N,Y,gup,1,Christianity
gpa,Gupa-Abawa,1,1,Y,2,,,,N,N,,6,Islam
guf,Gupapuyngu,1,5,N,3,,,1967-1977,N,Y,,1,Christianity
hac,Gurani,2,1,Y,3,,,2014,Y,Y,,6,Islam
gdj,Gurdjar,,,N,0,,,,N,N,,,
gnr,"Gureng Gureng",,,N,0,,,,N,N,,,
ggg,Gurgula,14,1,Y,0,,,,N,Y,,6,Islam
gue,Gurindji,1,5,N,3,,,1981-2013,N,Y,gue,4,"Ethnic Religions"
gjr,"Gurindji Kriol",1,4,N,1,,,,N,N,,1,Christianity
gvm,Gurmana,1,4,N,0,,,,N,N,,6,Islam
goa,Guro,1,4,N,5,1979,1956-1968,1951-1961,Y,Y,goa,4,"Ethnic Religions"
gge,Gurr-goni,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
gvr,Gurung,4,2,N,4,,1982-2020,1972-2010,Y,Y,gvr,2,Buddhism
grd,Guruntum-Mbaaru,1,1,Y,0,,,,N,Y,,6,Islam
gsl,Gusilay,1,1,Y,3,,,2023,N,N,3784,6,Islam
kky,"Guugu Yimidhirr",1,4,N,3,,,1940,N,Y,,4,"Ethnic Religions"
gka,Guya,1,5,N,2,,,,N,N,,1,Christianity
gyn,"Guyanese English Creole",6,5,N,3,,,2010-2011,Y,N,,1,Christianity
ngs,Gvoko,2,2,N,2,,,,N,Y,,4,"Ethnic Religions"
gwb,Gwa,1,1,Y,2,,,,N,N,,4,"Ethnic Religions"
